timestamp,robot,activity,python_s,robodk_s,delta_s,python_min,r1_cycles,r2_cycles
2026-03-02T14:46:49,R2,Operación Op_130 - ciclo 1,16.862039,,,,3,3
2026-03-02T14:46:49,R2,Operación Op_140 - ciclo 1,14.793501,,,,3,3
2026-03-02T14:46:49,R2,Operación Op_70 - ciclo 2,16.001199,,,,3,3
2026-03-02T14:46:49,R2,Operación Op_80 - ciclo 2,16.307091,,,,3,3
2026-03-02T14:46:49,R1,Operación Op_10 - ciclo 3 pasada 1,13.647664,13.648000,-0.000336,,3,3
2026-03-02T14:46:49,R2,Operación Op_90 - ciclo 2,13.672627,,,,3,3
2026-03-02T14:46:49,R1,Operación Op_10 - ciclo 3 pasada 2,13.736953,13.736000,0.000953,,3,3
2026-03-02T14:46:49,R2,Operación Op_100 - ciclo 2,15.636714,,,,3,3
2026-03-02T14:46:49,R2,Operación Op_110 - ciclo 2,14.179624,,,,3,3
2026-03-02T14:46:49,R2,Operación Op_120 - ciclo 2,15.599584,,,,3,3
2026-03-02T14:46:49,R2,Operación Op_130 - ciclo 2,14.027098,,,,3,3
2026-03-02T14:46:49,R2,Operación Op_140 - ciclo 2,14.317739,,,,3,3
2026-03-02T14:46:49,R2,Operación Op_70 - ciclo 3,14.301802,,,,3,3
2026-03-02T14:46:49,R2,Operación Op_80 - ciclo 3,12.223542,,,,3,3
2026-03-02T14:46:49,R2,Operación Op_90 - ciclo 3,11.636177,,,,3,3
2026-03-02T14:46:49,R2,Operación Op_100 - ciclo 3,11.593339,,,,3,3
2026-03-02T14:46:49,R2,Operación Op_110 - ciclo 3,11.808768,,,,3,3
2026-03-02T14:46:49,R2,Operación Op_120 - ciclo 3,12.091411,,,,3,3
2026-03-02T14:46:49,R2,Operación Op_130 - ciclo 3,11.592598,,,,3,3
2026-03-02T14:46:49,R2,Operación Op_140 - ciclo 3,12.577998,,,,3,3
2026-03-02T14:46:49,R1,Retorno Home R1,3.737433,3.737000,0.000433,,3,3
2026-03-02T14:46:49,R2,Retorno Home R2,3.258156,3.258000,0.000156,,3,3
2026-03-02T14:46:49,R1,TOTAL_CICLO_R1_1,83.330905,,,1.388848,3,3
2026-03-02T14:46:49,R1,TOTAL_CICLO_R1_2,119.098199,,,1.984970,3,3
2026-03-02T14:46:49,R1,TOTAL_CICLO_R1_3,119.752330,,,1.995872,3,3
2026-03-02T14:46:49,R2,TOTAL_CICLO_R2_1,119.086271,,,1.984771,3,3
2026-03-02T14:46:49,R2,TOTAL_CICLO_R2_2,119.741677,,,1.995695,3,3
2026-03-02T14:46:49,R2,TOTAL_CICLO_R2_3,97.825634,,,1.630427,3,3
2026-03-02T14:46:49,R2,TOTAL_R2,336.653582,,,5.610893,3,3
2026-03-02T14:46:49,GLOBAL,TOTAL,435.384967,432.207000,3.177967,,3,3
